name;instance_size;time;memory;min_path;path;real result;real path
matrix6_2;6;0;;80;[0, 4, 3, 2, 1, 5, 0];80; [0, 5, 1, 2, 3, 4, 0]
matrix10;10;0,004985809;;212;[0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0];212; [0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0]
matrix_my_11;11;0,008975983;;251;[0, 1, 8, 4, 6, 2, 9, 7, 5, 3, 10, 0];251; [0, 1, 8, 4, 6, 2, 9, 7, 5, 3, 10, 0]
matrix12;12;0,01996851;;264;[0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10, 0];264; [0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10, 0]
matrix13;13;0,047851563;;269;[0, 10, 3, 5, 7, 9, 11, 2, 6, 4, 8, 1, 12, 0];269; [0, 10, 3, 5, 7, 9, 11, 2, 6, 4, 8, 1, 12, 0]
matrix14;14;0,110704422;;282;[0, 10, 3, 5, 7, 9, 13, 11, 2, 6, 4, 8, 1, 12, 0];282; [0, 10, 3, 5, 7, 9, 13, 11, 2, 6, 4, 8, 1, 12, 0]
matrix15;15;0,260922194;;291;[0, 10, 3, 5, 7, 9, 13, 11, 2, 6, 4, 8, 14, 1, 12, 0];291; [0, 12, 1, 14, 8, 4, 6, 2, 11, 13, 9, 7, 5, 3, 10, 0]
matrix17;17;1,386621952;;39;[0, 2, 13, 1, 9, 10, 12, 5, 6, 14, 15, 3, 4, 7, 8, 16, 11, 0];39; [0, 11, 13, 2, 9, 10, 1, 12, 15, 14, 5, 6, 3, 4, 7, 8, 16, 0]
;;;;;;;
matrix_my_4;4;0;;38;[0, 1, 2, 3, 0];38; [0, 1, 2, 3, 0]
